"block","coherence","coherence_change","coherence_duration","coherent_direction_start","coherent_direction_change","coherent_direction_finish","response","error","rt","trial_type","trial_index","time_elapsed","internal_node_id"
"practice","0.35","false","1000","4","0","4","1","-3","1159","angle-response","2","4473","0.0-1.0-1.0"
"practice","0.35","true","1000","40","90","130","118","-12","1457","angle-response","4","7453","0.0-1.0-1.1"
"practice","0.35","true","1000","290","90","20","40","20","985","angle-response","6","9949","0.0-1.0-1.2"
"practice","0.35","false","500","121","0","121","127","6","1388","angle-response","8","12349","0.0-1.0-1.3"
"practice","1","false","1000","201","0","201","192","-9","819","angle-response","10","14672","0.0-1.0-1.4"
"practice","0.35","false","1000","135","0","135","147","12","829","angle-response","12","17013","0.0-1.0-1.5"
"practice","0.35","true","1000","296","90","26","38","12","888","angle-response","14","19411","0.0-1.0-1.6"
"practice","0.35","true","1000","139","90","229","226","-3","876","angle-response","16","21793","0.0-1.0-1.7"
"practice","1","false","500","38","0","38","46","8","1138","angle-response","18","23938","0.0-1.0-1.8"
"practice","0.35","false","500","249","0","249","225","-24","922","angle-response","20","25875","0.0-1.0-1.9"
"experiment","0.35","true","500","234","-90","144","142","-2","1177","angle-response","23","31044","0.0-3.0-1.0"
"experiment","1","true","500","171","90","261","261","0","1385","angle-response","25","33443","0.0-3.0-1.1"
"experiment","0.35","false","500","226","0","226","269","43","1310","angle-response","27","35769","0.0-3.0-1.2"
"experiment","0.35","true","500","309","-90","219","207","-12","1192","angle-response","29","37976","0.0-3.0-1.3"
"experiment","1","false","1000","53","0","53","53","0","829","angle-response","31","40313","0.0-3.0-1.4"
"experiment","0.35","true","500","53","90","143","169","26","1312","angle-response","33","42638","0.0-3.0-1.5"
"experiment","1","false","500","60","0","60","73","13","1170","angle-response","35","44824","0.0-3.0-1.6"
"experiment","0.35","false","500","253","0","253","254","1","1276","angle-response","37","47115","0.0-3.0-1.7"
"experiment","0.35","false","500","3","0","3","17","14","1502","angle-response","39","49627","0.0-3.0-1.8"
"experiment","0.35","false","1000","133","0","133","118","-15","890","angle-response","41","52034","0.0-3.0-1.9"
"experiment","0.35","true","500","156","-90","66","57","-9","1151","angle-response","43","54199","0.0-3.0-1.10"
"experiment","1","true","500","147","-90","57","34","-23","826","angle-response","45","56034","0.0-3.0-1.11"
"experiment","0.35","true","500","203","90","293","237","-56","850","angle-response","47","57902","0.0-3.0-1.12"
"experiment","0.35","false","1000","114","0","114","65","-49","801","angle-response","49","60208","0.0-3.0-1.13"
"experiment","0.35","true","500","183","90","273","244","-29","841","angle-response","51","62065","0.0-3.0-1.14"
"experiment","0.35","false","1000","321","0","321","287","-34","1042","angle-response","53","64615","0.0-3.0-1.15"
"experiment","1","false","1000","75","0","75","69","-6","728","angle-response","55","66860","0.0-3.0-1.16"
"experiment","0.35","true","500","230","-90","140","97","-43","1375","angle-response","57","69245","0.0-3.0-1.17"
"experiment","0.35","false","1000","226","0","226","225","-1","798","angle-response","59","71563","0.0-3.0-1.18"
"experiment","0.35","true","500","250","-90","160","238","78","860","angle-response","61","73431","0.0-3.0-1.19"
"experiment","1","false","500","340","0","340","316","-24","856","angle-response","63","75299","0.0-3.0-1.20"
"experiment","0.35","false","500","260","0","260","260","0","757","angle-response","65","77069","0.0-3.0-1.21"
"experiment","0.35","false","1000","346","0","346","310","-36","1057","angle-response","67","79640","0.0-3.0-1.22"
"experiment","0.35","true","500","31","90","301","306","5","1056","angle-response","69","81714","0.0-3.0-1.23"
"experiment","1","true","500","283","-90","193","199","6","766","angle-response","71","83490","0.0-3.0-1.24"
"experiment","1","true","500","85","90","175","155","-20","748","angle-response","73","85251","0.0-3.0-1.25"
"experiment","0.35","true","500","146","-90","56","59","3","827","angle-response","75","87107","0.0-3.0-1.26"
"experiment","0.35","false","1000","135","0","135","112","-23","824","angle-response","77","89443","0.0-3.0-1.27"
"experiment","0.35","true","500","115","90","205","215","10","1052","angle-response","79","91506","0.0-3.0-1.28"
"experiment","0.35","false","500","325","0","325","42","77","808","angle-response","81","93331","0.0-3.0-1.29"
"experiment","0.35","false","500","53","0","53","64","11","837","angle-response","83","95183","0.0-3.0-1.30"
"experiment","0.35","true","500","262","90","352","329","-23","936","angle-response","85","97136","0.0-3.0-1.31"
"experiment","0.35","false","1000","34","0","34","33","-1","958","angle-response","87","99604","0.0-3.0-1.32"
"experiment","0.35","true","500","337","90","67","256","-171","787","angle-response","89","101412","0.0-3.0-1.33"
"experiment","1","true","500","184","90","274","287","13","729","angle-response","91","103160","0.0-3.0-1.34"
"experiment","0.35","true","500","19","90","109","99","-10","778","angle-response","93","104946","0.0-3.0-1.35"
"experiment","0.35","true","500","205","-90","115","113","-2","996","angle-response","95","106962","0.0-3.0-1.36"
"experiment","0.35","false","500","354","0","354","19","25","815","angle-response","97","108789","0.0-3.0-1.37"
"experiment","0.35","false","1000","183","0","183","204","21","809","angle-response","99","111105","0.0-3.0-1.38"
"experiment","0.35","false","500","67","0","67","254","-173","844","angle-response","101","112961","0.0-3.0-1.39"
"experiment","0.35","true","500","43","90","133","104","-29","880","angle-response","103","114862","0.0-3.0-1.40"
"experiment","1","false","1000","186","0","186","199","13","1775","angle-response","105","118152","0.0-3.0-1.41"
"experiment","1","true","500","187","-90","97","101","4","1014","angle-response","107","120185","0.0-3.0-1.42"
"experiment","0.35","false","500","136","0","136","135","-1","1364","angle-response","109","122557","0.0-3.0-1.43"
"experiment","1","false","500","336","0","336","315","-21","1058","angle-response","111","124625","0.0-3.0-1.44"
"experiment","0.35","true","500","37","90","307","82","135","978","angle-response","113","126620","0.0-3.0-1.45"
"experiment","0.35","false","1000","309","0","309","309","0","1076","angle-response","115","129209","0.0-3.0-1.46"
"experiment","0.35","true","500","151","90","241","232","-9","744","angle-response","117","130974","0.0-3.0-1.47"
"experiment","0.35","true","500","321","90","51","66","15","683","angle-response","119","132672","0.0-3.0-1.48"
"experiment","0.35","false","1000","174","0","174","144","-30","793","angle-response","121","134985","0.0-3.0-1.49"
"experiment","0.35","false","500","125","0","125","108","-17","1132","angle-response","123","137131","0.0-3.0-1.50"
"experiment","0.35","true","500","64","90","154","149","-5","900","angle-response","125","139040","0.0-3.0-1.51"
"experiment","0.35","true","500","113","90","203","187","-16","959","angle-response","127","141009","0.0-3.0-1.52"
"experiment","1","true","500","243","90","333","345","12","1028","angle-response","129","143053","0.0-3.0-1.53"
"experiment","0.35","true","500","262","-90","172","162","-10","884","angle-response","131","144968","0.0-3.0-1.54"
"experiment","0.35","true","500","300","-90","210","234","24","761","angle-response","133","146737","0.0-3.0-1.55"
"experiment","0.35","false","500","211","0","211","207","-4","771","angle-response","135","148528","0.0-3.0-1.56"
"experiment","1","false","1000","235","0","235","248","13","716","angle-response","137","150762","0.0-3.0-1.57"
"experiment","1","false","500","344","0","344","309","-35","966","angle-response","139","152744","0.0-3.0-1.58"
"experiment","0.35","false","500","289","0","289","189","-100","851","angle-response","141","154612","0.0-3.0-1.59"
"experiment","0.35","false","1000","85","0","85","74","-11","1000","angle-response","143","157122","0.0-3.0-1.60"
"experiment","0.35","true","500","219","90","309","219","-90","1074","angle-response","145","159210","0.0-3.0-1.61"
"experiment","1","true","500","96","-90","6","30","24","786","angle-response","147","161008","0.0-3.0-1.62"
"experiment","0.35","false","1000","228","0","228","255","27","802","angle-response","149","163335","0.0-3.0-1.63"
"experiment","0.35","false","500","337","0","337","322","-15","820","angle-response","151","165173","0.0-3.0-1.64"
"experiment","0.35","true","500","80","90","170","180","10","902","angle-response","153","167089","0.0-3.0-1.65"
"experiment","0.35","false","1000","2","0","2","9","7","749","angle-response","155","169349","0.0-3.0-1.66"
"experiment","1","true","500","297","90","27","22","-5","715","angle-response","157","171086","0.0-3.0-1.67"
"experiment","1","false","500","163","0","163","154","-9","792","angle-response","159","172891","0.0-3.0-1.68"
"experiment","1","true","500","89","90","359","358","-1","781","angle-response","161","174686","0.0-3.0-1.69"
"experiment","0.35","false","500","279","0","279","293","14","801","angle-response","163","176495","0.0-3.0-1.70"
"experiment","0.35","false","500","156","0","156","164","8","879","angle-response","165","178385","0.0-3.0-1.71"
"experiment","0.35","false","1000","188","0","188","180","-8","803","angle-response","167","180706","0.0-3.0-1.72"
"experiment","0.35","true","500","26","90","296","297","1","800","angle-response","169","182526","0.0-3.0-1.73"
"experiment","0.35","true","500","49","90","319","343","24","803","angle-response","171","184348","0.0-3.0-1.74"
"experiment","0.35","true","500","203","90","293","199","-94","868","angle-response","173","186229","0.0-3.0-1.75"
"experiment","1","false","1000","93","0","93","96","3","711","angle-response","175","188461","0.0-3.0-1.76"
"experiment","0.35","true","500","202","90","292","267","-25","1221","angle-response","177","190701","0.0-3.0-1.77"
