"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_apertures","number_of_dots","number_of_sets","coherent_direction","coherence","opposite_coherence","dot_radius","dot_life","move_distance","aperture_width","aperture_height","dot_color","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames","aperture_center_x","aperture_center_y","fixation_cross","fixation_cross_width","fixation_cross_height","fixation_cross_color","fixation_cross_thickness","border","border_thickness","border_color","canvas_width","canvas_height","coherence_duration","coherence_change","change_trial_degrees_changed","coherent_direction_after_change","trial_subtype","value"
"1045.7999999523163","<p>Hello and thank you for taking part in our experiment!</p><p>In this experiment you will see dots flowing across the screen.</p><p>Using your mouse indicate the direction towards which you think the dots are flowing.</p><p> <i> Press spacebar to continue</i> </p>","32","html-keyboard-response","0","1048","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","null","html-keyboard-response","1","1560","0.0-1.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-1","","-1","rdk-change","2","2575","0.0-1.0-1.0","false","NO_KEYS","NO_KEYS","1000","true","1","30","1","260","0.35","0","2","-1","5","300","400","black","white","3","1","2","16.354098363000837","[1.1000001430511475,12.799999952316284,16.5,16.40000009536743,17,17.199999809265137,16.300000190734863,17.09999990463257,16.799999952316284,15.799999952316284,16.700000047683716,16.90000009536743,16.299999952316284,16.799999952316284,16.90000009536743,16.700000047683716,16.5,18,15.799999952316284,17.09999990463257,15.900000095367432,16.799999952316284,16.59999990463257,16.600000143051147,17.299999952316284,16.90000009536743,16.699999809265137,16.5,16.800000190734863,16.699999809265137,15.900000095367432,16.90000009536743,16.899999856948853,16.90000009536743,15.799999952316284,16.59999990463257,16.800000190734863,16.699999809265137,16.700000047683716,16.600000143051147,16.699999809265137,16.600000143051147,16.700000047683716,16.699999809265137,16.700000047683716,16.600000143051147,16.699999809265137,16.700000047683716,16.700000047683716,16.700000047683716,16.700000047683716,16.699999809265137,16.700000047683716,16.600000143051147,16.899999856948853,16.600000143051147,16.59999990463257,16.700000047683716,16.700000047683716,16.59999990463257,16.700000047683716]","61","640","512","false","20","20","black","1","true","1","black","1280","1050","500","true","90","260","NA",""
"","","","call-function","3","5442","0.0-1.0-2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2865ms"
"null","","null","html-keyboard-response","4","5952","0.0-1.0-0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-1","","-1","rdk-change","5","6954","0.0-1.0-1.1","false","NO_KEYS","NO_KEYS","1000","true","1","30","1","20","0.35","0","2","-1","5","300","400","black","white","3","1","2","16.646666665871937","[14.099999904632568,16.800000190734863,16.59999990463257,16.700000047683716,16.700000047683716,16.5,16.799999952316284,16.799999952316284,16.59999990463257,16.600000143051147,16.799999952316284,16.59999990463257,16.600000143051147,16.799999952316284,16.700000047683716,16.59999990463257,16.700000047683716,16.700000047683716,16.700000047683716,16.699999809265137,16.600000143051147,16.799999952316284,16.59999990463257,16.700000047683716,16.700000047683716,16.799999952316284,16.40000009536743,16.799999952316284,17.09999990463257,16.800000190734863,17.199999809265137,15.800000190734863,16.5,16.799999952316284,16.700000047683716,16.59999990463257,16.700000047683716,16.799999952316284,16.5,16.799999952316284,16.700000047683716,16.799999952316284,16.40000009536743,16.799999952316284,16.700000047683716,16.700000047683716,16.59999990463257,16.700000047683716,16.59999990463257,16.700000047683716,17.09999990463257,17,16.700000047683716,16.200000047683716,16.5,16.700000047683716,16.59999990463257,16.700000047683716,16.799999952316284,17]","60","640","512","false","20","20","black","1","true","1","black","1280","1050","500","true","90","110","NA",""
"","","","call-function","6","9408","0.0-1.0-2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2449ms"
"null","","null","html-keyboard-response","7","9923","0.0-1.0-0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-1","","-1","rdk-change","8","10927","0.0-1.0-1.2","false","NO_KEYS","NO_KEYS","1000","true","1","30","1","5","0.35","0","2","-1","5","300","400","black","white","3","1","2","16.591666666666665","[10.799999952316284,16.799999952316284,16.700000047683716,17,16.5,16.700000047683716,17.09999990463257,16.90000009536743,16.5,16.90000009536743,16,16.399999856948853,17.100000143051147,16.699999809265137,17.100000143051147,16.59999990463257,17,15.5,16.799999952316284,16.600000143051147,16.799999952316284,16.700000047683716,16.700000047683716,17.399999856948853,16.100000143051147,17.5,16.59999990463257,15.900000095367432,16.59999990463257,16.90000009536743,16.399999856948853,17.100000143051147,17.09999990463257,17.09999990463257,16.40000009536743,15.799999952316284,16.799999952316284,16.800000190734863,16.699999809265137,16.700000047683716,16.40000009536743,16.799999952316284,16.59999990463257,17,16.5,17.100000143051147,15.899999856948853,16.700000047683716,16.799999952316284,16.5,16.800000190734863,17,16.299999952316284,17.59999990463257,16.90000009536743,16.299999952316284,16.09999990463257,16.90000009536743,16.40000009536743,17.09999990463257]","60","640","512","false","20","20","black","1","true","1","black","1280","1050","500","true","90","275","NA",""
"","","","call-function","9","13631","0.0-1.0-2.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2692ms"
"null","","null","html-keyboard-response","10","14145","0.0-1.0-0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-1","","-1","rdk-change","11","15147","0.0-1.0-1.3","false","NO_KEYS","NO_KEYS","1000","true","1","30","1","350","0.35","0","2","-1","5","300","400","black","white","3","1","2","16.608333333333334","[12.199999809265137,16.800000190734863,16.699999809265137,16.700000047683716,16.600000143051147,16.59999990463257,16.700000047683716,16.700000047683716,16.699999809265137,16.5,16.800000190734863,16.699999809265137,16.700000047683716,16.700000047683716,19,14.299999952316284,16.799999952316284,16.600000143051147,16.700000047683716,16.699999809265137,16.700000047683716,16.600000143051147,16.699999809265137,17.100000143051147,16.899999856948853,16.700000047683716,16.200000047683716,16.799999952316284,16.40000009536743,16.700000047683716,16.699999809265137,16.700000047683716,16.700000047683716,16.700000047683716,16.59999990463257,16.799999952316284,16.600000143051147,16.899999856948853,16.700000047683716,16.799999952316284,17.300000190734863,15.899999856948853,16.90000009536743,16.59999990463257,17,16.799999952316284,16.700000047683716,16.600000143051147,16.699999809265137,16,17.5,15.900000095367432,16.59999990463257,16.800000190734863,16.59999990463257,16.700000047683716,16.700000047683716,16.799999952316284,16.59999990463257,16.600000143051147]","60","640","512","false","20","20","black","1","true","1","black","1280","1050","500","true","90","350","NA",""
"","","","call-function","12","16894","0.0-1.0-2.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1734ms"
"null","","null","html-keyboard-response","13","17397","0.0-1.0-0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-1","","-1","rdk-change","14","18400","0.0-1.0-1.4","false","NO_KEYS","NO_KEYS","1000","true","1","30","1","335","0.35","0","2","-1","5","300","400","black","white","3","1","2","16.623333330949148","[12.899999856948853,16.600000143051147,16.200000047683716,16.5,17.199999809265137,17.100000143051147,16.200000047683716,16.59999990463257,16.200000047683716,17,16.799999952316284,16.700000047683716,16.899999856948853,16.300000190734863,16.5,16.799999952316284,16.59999990463257,16.799999952316284,16.5,16.600000143051147,16.799999952316284,17.299999952316284,16.200000047683716,17.299999952316284,16.700000047683716,16.90000009536743,16.399999856948853,16.5,16.700000047683716,16.40000009536743,16.799999952316284,16.799999952316284,17,16.700000047683716,15.899999856948853,16.700000047683716,16.600000143051147,17.399999856948853,16.799999952316284,15.900000095367432,17,16.5,16.90000009536743,17.199999809265137,16.800000190734863,16.299999952316284,16.899999856948853,16.800000190734863,15.799999952316284,16.59999990463257,16.799999952316284,16.700000047683716,16.90000009536743,16.399999856948853,16.600000143051147,16.799999952316284,16.700000047683716,17.09999990463257,17.100000143051147,16.699999809265137]","60","640","512","false","20","20","black","1","true","1","black","1280","1050","500","true","90","335","NA",""
"","","","call-function","15","21316","0.0-1.0-2.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2906ms"
"null","","null","html-keyboard-response","16","21827","0.0-1.0-0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-1","","-1","rdk-change","17","22829","0.0-1.0-1.5","false","NO_KEYS","NO_KEYS","1000","true","1","30","1","5","0.35","0","2","-1","5","300","400","black","white","3","1","2","16.489999997615815","[4.700000047683716,17.59999990463257,16.09999990463257,16.700000047683716,16.600000143051147,16.59999990463257,16.799999952316284,16.700000047683716,17.09999990463257,16.600000143051147,16.899999856948853,16.800000190734863,16.59999990463257,16.700000047683716,16.200000047683716,16.59999990463257,16.59999990463257,16.800000190734863,16.799999952316284,16.299999952316284,16.700000047683716,16.799999952316284,17.200000047683716,15.899999856948853,16.700000047683716,17.600000143051147,16.399999856948853,16.799999952316284,16.800000190734863,16.59999990463257,16.59999990463257,16,16.700000047683716,17,16.700000047683716,16.59999990463257,16.800000190734863,16.799999952316284,16.899999856948853,16.800000190734863,16.59999990463257,16.90000009536743,16.699999809265137,16.600000143051147,16.899999856948853,16.40000009536743,16.700000047683716,16.899999856948853,16.5,15.800000190734863,16.799999952316284,16.59999990463257,17,17.200000047683716,16.09999990463257,16.5,16.600000143051147,16.899999856948853,17.5,16]","60","640","512","false","20","20","black","1","true","1","black","1280","1050","500","true","90","95","NA",""
"","","","call-function","18","24509","0.0-1.0-2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1669ms"
"null","","null","html-keyboard-response","19","25026","0.0-1.0-0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-1","","-1","rdk-change","20","26029","0.0-1.0-1.6","false","NO_KEYS","NO_KEYS","1000","true","1","30","1","230","0.35","0","2","-1","5","300","400","black","white","3","1","2","16.55","[8,16.700000047683716,19.5,14.199999809265137,16.90000009536743,17,16.59999990463257,16.5,16.300000190734863,16.399999856948853,16.90000009536743,16.5,16.700000047683716,16.699999809265137,17,17,16.700000047683716,17,16.600000143051147,16.699999809265137,16.5,16.100000143051147,16.399999856948853,16.700000047683716,16.700000047683716,16.799999952316284,16.700000047683716,16.90000009536743,16.699999809265137,16.800000190734863,17.09999990463257,16.799999952316284,16.700000047683716,16.40000009536743,16.09999990463257,16.5,16.700000047683716,16.700000047683716,16.799999952316284,16.59999990463257,16.90000009536743,16.399999856948853,16.700000047683716,17.299999952316284,16.40000009536743,16.799999952316284,16.200000047683716,16.799999952316284,17,16.600000143051147,16.699999809265137,16.800000190734863,16.59999990463257,16.59999990463257,17.5,16,16.5,16.90000009536743,16.59999990463257,17.100000143051147]","60","640","512","false","20","20","black","1","true","1","black","1280","1050","500","true","90","320","NA",""
"","","","call-function","21","27538","0.0-1.0-2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1501ms"
"null","","null","html-keyboard-response","22","28043","0.0-1.0-0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-1","","-1","rdk-change","23","29045","0.0-1.0-1.7","false","NO_KEYS","NO_KEYS","1000","true","1","30","1","140","0.35","0","2","-1","5","300","400","black","white","3","1","2","16.478333334128063","[4,16.799999952316284,17.300000190734863,16.899999856948853,16.100000143051147,16.699999809265137,16.700000047683716,17.100000143051147,16.699999809265137,16.700000047683716,16,17.299999952316284,16.90000009536743,16.40000009536743,17,16.699999809265137,16.300000190734863,16.899999856948853,16.799999952316284,16.600000143051147,16.5,16.899999856948853,16.300000190734863,16.09999990463257,16.700000047683716,16.700000047683716,16.799999952316284,16.59999990463257,16.90000009536743,16.799999952316284,17.200000047683716,16.09999990463257,16.700000047683716,16.799999952316284,16.40000009536743,16.899999856948853,16.40000009536743,16.59999990463257,16.700000047683716,16.799999952316284,16.5,16.700000047683716,16.700000047683716,16.90000009536743,16.59999990463257,16.90000009536743,16.59999990463257,17,16.40000009536743,16.699999809265137,16.600000143051147,17,17.200000047683716,16.59999990463257,16.5,16.90000009536743,16.59999990463257,16.59999990463257,16.700000047683716,16.200000047683716]","60","640","512","false","20","20","black","1","true","1","black","1280","1050","500","true","90","50","NA",""
"","","","call-function","24","31385","0.0-1.0-2.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2337ms"
"null","","null","html-keyboard-response","25","31899","0.0-1.0-0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-1","","-1","rdk-change","26","32903","0.0-1.0-1.8","false","NO_KEYS","NO_KEYS","1000","true","1","30","1","155","0.35","0","2","-1","5","300","400","black","white","3","1","2","16.6864406779661","[28.200000047683716,4.299999952316284,17,16.59999990463257,16.700000047683716,17.100000143051147,17.09999990463257,16.09999990463257,16.600000143051147,16.700000047683716,16.799999952316284,17.09999990463257,16.700000047683716,16,16.40000009536743,17.199999809265137,16.700000047683716,17.100000143051147,16,16.5,16.899999856948853,16.799999952316284,16.700000047683716,16.799999952316284,17.200000047683716,16.40000009536743,17,16.59999990463257,16.5,16.90000009536743,16.700000047683716,15.899999856948853,16.600000143051147,16.5,16.699999809265137,16.800000190734863,16.799999952316284,16.799999952316284,16.700000047683716,16.899999856948853,17.100000143051147,16.700000047683716,16.399999856948853,16.799999952316284,16.700000047683716,16.90000009536743,16.5,15.899999856948853,16.600000143051147,16.799999952316284,16.90000009536743,17.199999809265137,16.800000190734863,16.699999809265137,16.600000143051147,16.200000047683716,16.5,16.799999952316284,17.299999952316284]","59","640","512","false","20","20","black","1","true","1","black","1280","1050","500","true","90","155","NA",""
